    n, merge_cmp, merge_swaps, merge_time
  536,      4197,           0,       2708
  537,      4203,           0,       2920
  538,      4214,           0,       2677
  539,      4224,           0,       2383
  540,      4237,           0,       2417
  541,      4237,           0,       2702
  542,      4254,           0,       2849
  543,      4256,           0,       2535
  544,      4263,           0,       2444
  545,      4274,           0,       2413
  546,      4285,           0,       2470
  547,      4289,           0,       2442
  548,      4301,           0,       3268
  549,      4304,           0,       2461
  550,      4322,           0,       2497
  551,      4331,           0,       2428
  552,      4356,           0,       2445
  553,      4363,           0,       2605
  554,      4367,           0,       2456
  555,      4370,           0,       2784
  556,      4370,           0,       2538
  557,      4372,           0,       2464
  558,      4390,           0,       2477
  559,      4414,           0,       3145
  560,      4426,           0,       2772
  561,      4436,           0,       2520
  562,      4442,           0,       2560
  563,      4457,           0,       2501
  564,      4457,           0,       2588
  565,      4462,           0,       2561
  566,      4476,           0,       2516
  567,      4483,           0,       2509
  568,      4502,           0,       3053
  569,      4509,           0,       2692
  570,      4537,           0,       2680
  571,      4537,           0,       3557
  572,      4544,           0,       2592
  573,      4548,           0,       2545
  574,      4559,           0,       2583
  575,      4561,           0,       2557
  576,      4569,           0,       2835
  577,      4581,           0,       2559
  578,      4582,           0,       2622
  579,      4591,           0,       2579
  580,      4611,           0,       2861
  581,      4620,           0,       3000
  582,      4635,           0,       3154
  583,      4642,           0,       2605
  584,      4661,           0,       2789
  585,      4668,           0,       2664
  586,      4680,           0,       2662
  587,      4684,           0,       2687
  588,      4679,           0,       2672
  589,      4681,           0,       2629
  590,      4708,           0,       2673
  591,      4710,           0,       2642
  592,      4736,           0,       2788
  593,      4745,           0,       3159
  594,      4742,           0,       2661
  595,      4748,           0,       2737
  596,      4773,           0,       2671
  597,      4772,           0,       2703
  598,      4786,           0,       3212
  599,      4778,           0,       2842
  600,      4793,           0,       2829
  601,      4814,           0,       2757
  602,      4818,           0,       2707
  603,      4838,           0,       2863
  604,      4827,           0,       2698
  605,      4827,           0,       3051
  606,      4866,           0,       2995
  607,      4868,           0,       2863
  608,      4901,           0,       2896
  609,      4907,           0,       3401
  610,      4906,           0,       2853
  611,      4917,           0,       2751
  612,      4917,           0,       2815
  613,      4934,           0,       2864
  614,      4954,           0,       2774
  615,      4956,           0,       2910
  616,      4959,           0,       2799
  617,      4962,           0,       3415
  618,      4965,           0,       2794
  619,      4977,           0,       3633
  620,      4969,           0,       2826
  621,      4985,           0,       2825
  622,      4999,           0,       2928
  623,      5015,           0,       2810
  624,      5055,           0,       2961
  625,      5058,           0,       2860
  626,      5044,           0,       2864
  627,      5062,           0,       2829
  628,      5057,           0,       3189
  629,      5072,           0,       3171
  630,      5081,           0,       2985
  631,      5085,           0,       2922
  632,      5074,           0,       2846
  633,      5079,           0,       2882
  634,      5112,           0,       3186
  635,      5113,           0,       3111
  636,      5136,           0,       2932
  637,      5136,           0,       3057
  638,      5141,           0,       2875
  639,      5161,           0,       3127
  640,      5199,           0,       3679
  641,      5210,           0,       2939
  642,      5219,           0,       2938
  643,      5214,           0,       2908
  644,      5209,           0,       3662
  645,      5216,           0,       3020
  646,      5232,           0,       2910
  647,      5240,           0,       2965
  648,      5253,           0,       2923
  649,      5261,           0,       3080
  650,      5266,           0,       2935
  651,      5269,           0,       3546
  652,      5288,           0,       3001
  653,      5307,           0,       2963
  654,      5317,           0,       3762
  655,      5321,           0,       3033
  656,      5320,           0,       2969
  657,      5329,           0,       3010
  658,      5343,           0,       3215
  659,      5350,           0,       3050
  660,      5354,           0,       2995
  661,      5359,           0,       3022
  662,      5382,           0,       3542
  663,      5378,           0,       3237
  664,      5401,           0,       3669
  665,      5413,           0,       3185
  666,      5413,           0,       3012
  667,      5436,           0,       3112
  668,      5415,           0,       3143
  669,      5418,           0,       3055
  670,      5451,           0,       3048
  671,      5462,           0,       3072
  672,      5499,           0,       3412
  673,      5512,           0,       3531
  674,      5518,           0,       3106
  675,      5525,           0,       3054
  676,      5533,           0,       3072
  677,      5532,           0,       3122
  678,      5548,           0,       3926
  679,      5554,           0,       3129
  680,      5566,           0,       3134
  681,      5573,           0,       3089
  682,      5575,           0,       3263
  683,      5587,           0,       3318
  684,      5614,           0,       5904
  685,      5624,           0,       5965
  686,      5614,           0,       6668
  687,      5631,           0,       6346
  688,      5620,           0,       5108
  689,      5627,           0,       6049
  690,      5632,           0,       5610
  691,      5651,           0,       5459
  692,      5665,           0,       3673
  693,      5661,           0,       3571
  694,      5685,           0,       3731
  695,      5698,           0,       3453
  696,      5697,           0,       3283
  697,      5708,           0,       3224
  698,      5708,           0,       3568
