    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
  323,         27267,           26955,          24856,      2302,           0,       1188
  324,         27282,           26969,          24683,      2307,           0,       1199
  325,         27363,           27049,          24713,      2315,           0,       1197
  326,         27447,           27132,          24600,      2324,           0,       1318
  327,         27527,           27211,          25732,      2341,           0,       1211
  328,         27838,           27521,          25687,      2337,           0,       1404
  329,         27987,           27669,          25389,      2345,           0,       1214
  330,         28188,           27869,          25367,      2342,           0,       1214
  331,         28399,           28079,          26637,      2366,           0,       1227
  332,         28564,           28243,          25901,      2370,           0,       1354
  333,         28566,           28244,          25727,      2372,           0,       1224
  334,         28618,           28295,          27094,      2377,           0,       1230
  335,         28750,           28426,          25955,      2385,           0,       1233
  336,         29070,           28745,          26630,      2419,           0,       1278
  337,         29157,           28831,          26669,      2430,           0,       1297
  338,         29201,           28874,          26993,      2437,           0,       1287
  339,         29314,           28986,          26901,      2440,           0,       1390
  340,         29502,           29173,          26962,      2459,           0,       1266
  341,         29683,           29353,          27549,      2456,           0,       1269
  342,         29749,           29418,          27025,      2465,           0,       1275
  343,         29911,           29579,          27018,      2479,           0,       1277
  344,         30241,           29908,          27261,      2468,           0,       1399
  345,         30416,           30082,          28237,      2480,           0,       1282
  346,         30594,           30259,          28485,      2486,           0,       1285
  347,         30631,           30295,          27521,      2494,           0,       1286
  348,         30803,           30466,          27801,      2510,           0,       1326
  349,         30864,           30526,          28552,      2506,           0,       1306
  350,         31193,           30854,          28276,      2530,           0,       1306
  351,         31417,           31077,          28497,      2541,           0,       1307
  352,         31737,           31396,          31306,      2530,           0,       1415
  353,         31919,           31577,          29441,      2544,           0,       1450
  354,         31952,           31609,          30706,      2559,           0,       1356
  355,         32121,           31777,          29230,      2572,           0,       1324
  356,         32447,           32102,          30174,      2590,           0,       1348
  357,         32633,           32287,          29983,      2598,           0,       1399
  358,         32640,           32293,          29582,      2607,           0,       1338
  359,         32932,           32584,          29892,      2619,           0,       1344
  360,         33254,           32905,          30195,      2632,           0,       1345
  361,         33367,           33017,          30859,      2633,           0,       1350
  362,         33666,           33315,          31074,      2647,           0,       1707
  363,         33849,           33497,          30717,      2651,           0,       1356
  364,         33871,           33518,          30954,      2659,           0,       1399
  365,         34094,           33740,          31232,      2668,           0,       1404
  366,         34290,           33935,          31013,      2675,           0,       1367
  367,         34616,           34260,          31813,      2683,           0,       1377
  368,         34659,           34302,          31689,      2686,           0,       1411
  369,         34694,           34336,          31885,      2693,           0,       1379
  370,         34920,           34561,          32158,      2713,           0,       1517
  371,         34949,           34589,          32371,      2728,           0,       1401
  372,         35123,           34762,          32225,      2719,           0,       1506
  373,         35376,           35014,          32310,      2724,           0,       1409
  374,         35666,           35303,          32380,      2737,           0,       1433
  375,         35707,           35343,          32639,      2748,           0,       1442
  376,         35745,           35380,          32886,      2753,           0,       1427
  377,         35774,           35408,          32879,      2767,           0,       1579
  378,         35821,           35454,          32248,      2772,           0,       1417
  379,         36141,           35773,          33572,      2772,           0,       1425
  380,         36425,           36056,          33643,      2792,           0,       1441
  381,         36521,           36151,          32904,      2796,           0,       1426
  382,         36709,           36338,          34333,      2805,           0,       1606
  383,         37070,           36698,          36449,      2815,           0,       1437
  384,         37215,           36842,          34459,      2825,           0,       1557
  385,         37496,           37122,          34910,      2834,           0,       1587
  386,         37700,           37325,          34868,      2842,           0,       1453
  387,         37996,           37620,          34472,      2856,           0,       1600
  388,         38226,           37849,          34816,      2873,           0,       1513
  389,         38341,           37963,          34621,      2875,           0,       1509
  390,         38360,           37981,          35599,      2896,           0,       2012
  391,         38560,           38180,          35495,      2919,           0,       1486
  392,         38736,           38355,          35141,      2894,           0,       1508
  393,         38780,           38398,          35877,      2904,           0,       1489
