   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 635,              ,                ,               ,      5110,           0,       2853
 636,              ,                ,               ,      5121,           0,       2862
 637,              ,                ,               ,      5143,           0,       3281
 638,              ,                ,               ,      5141,           0,       2944
 639,              ,                ,               ,      5177,           0,       2892
 640,              ,                ,               ,      5171,           0,       3440
 641,              ,                ,               ,      5179,           0,       3451
 642,              ,                ,               ,      5199,           0,       5016
 643,              ,                ,               ,      5222,           0,       3072
 644,              ,                ,               ,      5203,           0,       2939
 645,              ,                ,               ,      5210,           0,       2978
 646,              ,                ,               ,      5235,           0,       4130
 647,              ,                ,               ,      5230,           0,       3808
 648,              ,                ,               ,      5255,           0,       3299
 649,              ,                ,               ,      5262,           0,       3520
 650,              ,                ,               ,      5287,           0,       4213
 651,              ,                ,               ,      5281,           0,       2757
 652,              ,                ,               ,      5291,           0,       2894
 653,              ,                ,               ,      5300,           0,       2812
 654,              ,                ,               ,      5290,           0,       2846
 655,              ,                ,               ,      5317,           0,       2760
 656,              ,                ,               ,      5335,           0,       2824
 657,              ,                ,               ,      5347,           0,       2887
 658,              ,                ,               ,      5361,           0,       2780
 659,              ,                ,               ,      5364,           0,       2788
 660,              ,                ,               ,      5337,           0,       2767
 661,              ,                ,               ,      5345,           0,       2957
 662,              ,                ,               ,      5377,           0,       2809
 663,              ,                ,               ,      5394,           0,       2898
 664,              ,                ,               ,      5384,           0,       2799
 665,              ,                ,               ,      5391,           0,       2860
 666,              ,                ,               ,      5393,           0,       2808
 667,              ,                ,               ,      5414,           0,       2854
 668,              ,                ,               ,      5452,           0,       2848
 669,              ,                ,               ,      5455,           0,       3000
 670,              ,                ,               ,      5454,           0,       2830
 671,              ,                ,               ,      5469,           0,       3043
 672,              ,                ,               ,      5491,           0,       2858
 673,              ,                ,               ,      5500,           0,       2922
 674,              ,                ,               ,      5503,           0,       2876
 675,              ,                ,               ,      5519,           0,       2866
 676,              ,                ,               ,      5519,           0,       2969
 677,              ,                ,               ,      5523,           0,       3061
 678,              ,                ,               ,      5541,           0,       2975
 679,              ,                ,               ,      5557,           0,       2871
 680,              ,                ,               ,      5549,           0,       3086
 681,              ,                ,               ,      5555,           0,       2903
 682,              ,                ,               ,      5571,           0,       3016
 683,              ,                ,               ,      5578,           0,       2914
 684,              ,                ,               ,      5587,           0,       3155
 685,              ,                ,               ,      5606,           0,       3358
 686,              ,                ,               ,      5633,           0,       3013
 687,              ,                ,               ,      5614,           0,       2964
 688,              ,                ,               ,      5625,           0,       2901
 689,              ,                ,               ,      5639,           0,       2958
 690,              ,                ,               ,      5658,           0,       2995
 691,              ,                ,               ,      5678,           0,       2998
 692,              ,                ,               ,      5682,           0,       3237
 693,              ,                ,               ,      5679,           0,       2948
 694,              ,                ,               ,      5688,           0,       3021
 695,              ,                ,               ,      5704,           0,       2947
 696,              ,                ,               ,      5706,           0,       3019
 697,              ,                ,               ,      5722,           0,       2993
 698,              ,                ,               ,      5726,           0,       3191
 699,              ,                ,               ,      5750,           0,       3201
 700,              ,                ,               ,      5753,           0,       3001
 701,              ,                ,               ,      5758,           0,       3020
 702,              ,                ,               ,      5775,           0,       2995
 703,              ,                ,               ,      5790,           0,       3546
 704,              ,                ,               ,      5804,           0,       2975
 705,              ,                ,               ,      5813,           0,       3065
 706,              ,                ,               ,      5821,           0,       3233
 707,              ,                ,               ,      5819,           0,       3010
 708,              ,                ,               ,      5838,           0,       3180
